id_nestbox;id_patch;site;coord_x;coord_y;year;species;laying_date;flight_date;clutch_size;brood_size;fledgling_nb;mass;tarsus_length;wing_length;F_metric_d1b0;F_metric_d2b0;F_metric_d3b0;F_metric_d1b1;F_metric_d2b1;F_metric_d3b1;Rr_metric_d1c1;Rr_metric_d2c1;Rr_metric_d3c1;Dr_metric_c1;Dr_metric_c2;woodyveg_volume;woodyveg_vw;woodyveg_sd;woody_area;patch_area;patch_perim;herbaceous_area;manag_intensity;light_pollution;noise_m;noise_iq;traffic;built_area;build_volume;build_sd;open_area;water_area;urban_intensity;cumdd_30;cumdd_60;cumdd_between;min_t_before;min_t_between;built_volume;log_F_metric_d1b0;log_F_metric_d2b0;log_F_metric_d3b0;log_F_metric_d1b1;log_F_metric_d2b1;log_F_metric_d3b1;log_woody_vol;log_woody_vw;log_woody_area;log_patch_area;log_patch_perim;log_herb_area;sqrt_built_vol;hatching_rate;laying_day;manag_low;manag_mid;manag_high;c.log_patch_area;c.log_woody_vol;c.log_woody_area;c.log_F_metric_d2b1;c.log_F_metric_d2b0;c.clutch_size;c.laying_day;c.sqrt_built_vol;c.built_area;c.open_area;c.log_herb_area;c.noise_m;c.traffic;c.cumdd_30;c.cumdd_between;c.min_t_between
DIJ-002;32923;drapeau;854216,507249354;6694982,40016465;2020;CC;2020-04-10;2020-05-15;11;10;0;NA;NA;NA;14,622629910;62,837422380;759,13322020;4299,81949100;9935,3813830;70190,404730;0,093557314;0,199953467;0,419433033;3,5109428980;4,9761098190;137846,80390;103385,1029250;5,608512507;15764;2974;800;11061;2;0,846645974890774977;5,052351761;13,193679810;2,673881874000;14,135;105923,28080000;4,416308090;29,690;0;0,44273420536233227;2,99940000000000;525,330000000000;5,19880000000000;-0,088000000000000;4,0890000000000004;105,92328080000;1,1650254884005864;1,798218361773693;2,88031799687150;3,63345022401956;3,99718454274461;4,84627774663645;5,13939670105706;5,01445796444876;4,19766642619357;3,47334096418594;2,90308998699194;4,04379439232578;10,291903652871998;0,909090909090909;10,1;0;0;1;0,1362812378654108;-0,07539896146335323;-0,061066545058084287;-0,46176159002896844;-0,3425079897774945;2;0,7499999999999982;0,5585174712803109;3,3085000000000004;4,17100000000000293;-3,84163242754640e-02;-0,30349540699999977;0,564109594000000047;0,355900000000000105;1,243650000000000588;4,12000000000000011
DIJ-003;32328;drapeau;854266,029310065;6694974,73887908;2021;CC;2021-04-12;2021-05-20;13;13;6;7,75333333333333;14,8100000000000;26,1666666666667;15,967391430;65,323905860;752,56086530;7319,11918300;12224,8142900;71046,807340;0,105692238;0,202551706;0,416063121;3,5508088590;5,0414805310;147841,82910;110881,3718250;5,490568892;16547;1373;366;11565;2;0,270325933051185796;5,110430527;13,306755070;2,145643248000;14,701;131389,77790000;4,931747835;27,837;0;0,66148118141421564;2,53101966666667;467,593866666666;4,28680000000000;-1,091896666666665;1,5600000000000001;131,38977790000;1,2032339718622942;1,815072144263215;2,87654163037214;3,86445881917592;4,08724227037718;4,85154456662979;5,16979732700322;5,04485859039492;4,21871926690049;3,13767053723676;2,56348108539441;4,06314563710664;11,462538021747189;1,000000000000000;10,2;0;0;1;-0,1993891890837696;-0,04499833551720034;-0,040013704351157031;-0,37170386239639353;-0,3256542072879725;4;0,8499999999999979;1,7291518401555024;3,8745000000000012;2,31800000000000139;-1,90650794946050e-02;-0,24541664099999938;0,035870968000000669;-0,112480333333330407;0,331650000000000666;1,59099999999999997
DIJ-004;32328;drapeau;854281,510422194;6695007,10072846;2019;CC;2019-04-01;2019-05-05;12;11;4;7,80750000000000;NA;NA;15,967391430;65,323905860;752,56086530;7319,11918300;12224,8142900;71046,807340;0,105692238;0,202551706;0,416063121;3,5508088590;5,0414805310;132946,95480;79768,1728800;5,665585928;14836;1373;366;10459;2;0,524949620237834647;5,055949783;13,008647920;2,315869852000;16,007;149039,64040000;4,949651232;29,348;0;0,95385268043505278;2,73460000000000;471,350000000000;3,69340000000000;-0,479000000000000;-0,1990000000000000;149,03964040000;1,2032339718622942;1,815072144263215;2,87654163037214;3,86445881917592;4,08724227037718;4,85154456662979;5,12367839410307;4,90182964448671;4,17131682465657;3,13767053723676;2,56348108539441;4,01949016299751;12,208179241803423;0,916666666666667;9,1;0;0;1;-0,1993891890837696;-0,09111726841734669;-0,087416146595077571;-0,37170386239639353;-0,3256542072879725;3;-0,2500000000000018;2,4747930602117361;5,1805000000000021;3,82900000000000063;-6,27205536037350e-02;-0,29989738499999952;0,206097572000000451;0,091099999999999959;-0,261750000000000149;-0,16800000000000001
DIJ-004;32328;drapeau;854281,573324644;6695007,01421428;2020;PM;2020-04-03;2020-05-05;7;6;6;17,32500000000000;19,1850000000000;NA;24,665562330;175,350994800;1016,01416400;8423,70369200;20948,3842300;99597,839960;0,131841141;0,277387692;0,676237081;2,4687991880;3,8248765520;132946,95480;79768,1728800;5,665585928;14836;1373;366;10459;2;0,524949620237833980;5,055949783;13,008647920;2,315869852000;16,007;149039,64040000;4,949651232;29,348;0;0,95385268043506055;2,59180000000000;487,750000000000;4,73530000000000;-0,088000000000000;2,9300000000000002;149,03964040000;1,3920910210360331;2,243908234060835;3,00689976238113;3,92550308192000;4,32115053102277;4,99824991971260;5,12367839410307;4,90182964448671;4,17131682465657;3,13767053723676;2,56348108539441;4,01949016299751;12,208179241803423;0,857142857142857;9,4;0;0;1;-0,1993891890837696;-0,09111726841734669;-0,087416146595077571;-0,13779560175081151;0,1031818825096482;-2;0,0499999999999989;2,4747930602117361;5,1805000000000021;3,82900000000000063;-6,27205536037350e-02;-0,29989738499999952;0,206097572000000451;-0,051699999999999857;0,780149999999999899;2,96100000000000030
DIJ-005;31461;drapeau;854299,381313569;6695042,45234851;2021;PM;2021-04-18;2021-05-19;7;5;5;16,05200000000000;19,7140000000000;40,8000000000000;31,300572900;197,157986400;1076,82269500;4744,67295400;18671,0033800;101814,387400;0,128724646;0,298515755;0,692216822;2,4667371670;3,7310811340;119109,85130;89332,3884750;5,584339471;14112;4824;1356;9985;1;0,687639924753469911;5,024083328;14,190784450;3,077566498000;16,705;144036,64060000;5,232253373;29,848;0;1,05899237864178586;2,47623433333333;466,733833333333;3,51310000000000;-1,061797777777778;1,5600000000000001;144,03664060000;1,4955522865889943;2,294814373999655;3,03214420012043;3,67620628227055;4,27116765756815;5,00780915252853;5,07594768245925;4,95100894585095;4,14958856778774;3,68340729913209;3,13225968953104;3,99934806920672;12,001526594562877;0,714285714285714;10,8;0;1;0;0,3463475728115704;-0,13884798006116572;-0,109144403463905526;-0,18777847520542590;0,1540880224484682;-2;1,4499999999999993;2,2681404129711904;5,8784999999999989;4,32900000000000063;-8,28626473945215e-02;-0,33176383999999981;0,967794218000000317;-0,167265666666667201;-0,442049999999999610;1,59099999999999997
DIJ-006;31461;drapeau;854256,696829468;6695057,04199057;2019;PM;2019-04-01;2019-05-05;10;9;7;15,25571428571429;NA;NA;31,300572900;197,157986400;1076,82269500;4744,67295400;18671,0033800;101814,387400;0,128724646;0,298515755;0,692216822;2,4667371670;3,7310811340;127744,54110;76646,7246600;5,710393548;15089;4824;1356;11450;2;0,999938455736231635;5,046184158;12,263389590;2,616437681000;15,618;124820,22510000;5,351093761;28,493;0;0,80915557652820247;2,73460000000000;471,350000000000;3,69340000000000;-0,479000000000000;-0,1990000000000000;124,82022510000;1,4955522865889943;2,294814373999655;3,03214420012043;3,67620628227055;4,27116765756815;5,00780915252853;5,10634235052259;4,88449360090623;4,17866045853817;3,68340729913209;3,13225968953104;4,05880548667591;11,172297216776862;0,900000000000000;9,1;0;0;1;0,3463475728115704;-0,10845331199782660;-0,080072512713480926;-0,18777847520542590;0,1540880224484682;1;-0,2500000000000018;1,4389110351851748;4,7915000000000010;2,97400000000000020;-2,34052299253360e-02;-0,30966300999999952;0,506665401000000237;0,091099999999999959;-0,261750000000000149;-0,16800000000000001
DIJ-008;31461;drapeau;854152,229489486;6695063,36071955;2021;PM;2021-04-03;2021-05-08;8;8;7;14,96000000000000;19,6842857142857;42,8571428571429;31,300572900;197,157986400;1076,82269500;4744,67295400;18671,0033800;101814,387400;0,128724646;0,298515755;0,692216822;2,4667371670;3,7310811340;119438,96880;89579,2266000;5,708953863;15600;4824;1356;12436;1;1,925374817103201686;5,017401505;12,859596250;2,460991989000;13,440;91379,66045000;4,586247149;29,174;0;0,30441156492608068;2,50469033333333;468,544200000000;3,77200000000000;-1,249015555555556;1,5600000000000001;91,37966045000;1,4955522865889943;2,294814373999655;3,03214420012043;3,67620628227055;4,27116765756815;5,00780915252853;5,07714604516570;4,95220730855740;4,19312459835446;3,68340729913209;3,13225968953104;4,09468071337115;9,559270916236237;1,000000000000000;9,3;0;1;0;0,3463475728115704;-0,13764961735471104;-0,065608372897188794;-0,18777847520542590;0,1540880224484682;-1;-0,0500000000000007;-0,1741152653554501;2,6135000000000002;3,65500000000000114;1,24699967699113e-02;-0,33844566299999901;0,351219709000000435;-0,138809666666665610;-0,183149999999999924;1,59099999999999997
DIJ-008;31461;drapeau;854152,249023244;6695063,66398582;2022;PM;2022-03-30;2022-05-02;8;8;8;15,19000000000000;20,1925000000000;41,6250000000000;31,300572900;197,157986400;1076,82269500;4744,67295400;18671,0033800;101814,387400;0,128724646;0,298515755;0,692216822;2,4667371670;3,7310811340;119438,96880;89579,2266000;5,708953863;15600;4824;1356;12436;1;1,925374817103201686;5,017401505;12,859596250;2,460991989000;13,440;91379,66045000;4,586247149;29,174;0;0,30441156492608068;2,59700000000000;440,110000000000;3,43000000000000;-3,360000000000000;-2,9500000000000002;91,37966045000;1,4955522865889943;2,294814373999655;3,03214420012043;3,67620628227055;4,27116765756815;5,00780915252853;5,07714604516570;4,95220730855740;4,19312459835446;3,68340729913209;3,13225968953104;4,09468071337115;9,559270916236237;1,000000000000000;8,9;0;1;0;0,3463475728115704;-0,13764961735471104;-0,065608372897188794;-0,18777847520542590;0,1540880224484682;-1;-0,4500000000000011;-0,1741152653554501;2,6135000000000002;3,65500000000000114;1,24699967699113e-02;-0,33844566299999901;0,351219709000000435;-0,046499999999999986;-0,525149999999999562;-2,91900000000000004
DIJ-009;32672;drapeau;854154,661751224;6695003,76860482;2019;PM;2019-04-01;2019-05-05;8;8;6;13,92333333333333;NA;NA;15,290944250;162,159477500;1002,65445600;6859,85688100;20163,2669600;100520,723100;0,094972653;0,253459426;0,664232628;2,5110318320;3,8713693060;122253,68210;91690,2615750;5,692769070;15000;259;126;11149;1;1,874826949946346577;4,985021210;14,591686250;2,627621238000;14,226;108039,73870000;5,143789185;30,275;0;0,63634676323617012;2,73460000000000;471,350000000000;3,69340000000000;-0,479000000000000;-0,1990000000000000;108,03973870000;1,1844343048958073;2,209942336331028;3,00115128824637;3,83631505500116;4,30456090018181;5,00225560404718;5,08726194829979;4,96232321169149;4,17609125905568;2,41329976408125;2,10037054511756;4,04723591545968;10,394216598666780;1,000000000000000;9,1;0;1;0;-0,9237599622392727;-0,12753371422062632;-0,082641712195968609;-0,15438523259176762;0,0692159847798406;-1;-0,2500000000000018;0,6608304170750934;3,3995000000000015;4,75600000000000023;-3,49748011415620e-02;-0,37082595799999929;0,517848958000000081;0,091099999999999959;-0,261750000000000149;-0,16800000000000001
DIJ-009;32672;drapeau;854154,764780938;6695003,81149567;2020;PM;2020-04-08;2020-05-10;6;6;6;13,86500000000000;18,1200000000000;NA;15,290944250;162,159477500;1002,65445600;6859,85688100;20163,2669600;100520,723100;0,094972653;0,253459426;0,664232628;2,5110318320;3,8713693060;122253,68210;91690,2615750;5,692769070;15000;259;126;11149;1;1,874826949946346577;4,985021210;14,591686250;2,627621238000;14,226;108039,73870000;5,143789185;30,275;0;0,63634676323617012;2,83940000000000;507,690000000000;4,91890000000000;-0,088000000000000;4,4800000000000004;108,03973870000;1,1844343048958073;2,209942336331028;3,00115128824637;3,83631505500116;4,30456090018181;5,00225560404718;5,08726194829979;4,96232321169149;4,17609125905568;2,41329976408125;2,10037054511756;4,04723591545968;10,394216598666780;1,000000000000000;9,9;0;1;0;-0,9237599622392727;-0,12753371422062632;-0,082641712195968609;-0,15438523259176762;0,0692159847798406;-3;0,5499999999999989;0,6608304170750934;3,3995000000000015;4,75600000000000023;-3,49748011415620e-02;-0,37082595799999929;0,517848958000000081;0,195899999999999963;0,963750000000000107;4,51100000000000012
